SIRA_NO,PROJE_ADI,SOZLESME_BEDELI_NOMINAL_TL,SOZLESME_TARIHI_KAYNAK,FIYAT_GUNCELLEME_KATSAYISI,BORU_CAPI,HAT_UZUNLUGU_KM,HAT_VANASI_SAYISI,PIG_ISTASYONU_SAYISI,GUNCEL_SOZLESME_BEDELI_TL_TEMMUZ_2026,DEGERLENDIRME_KUMESI,CDR_DEGERLENDIRME_TAHMIN,CDR_TAM_TAHMIN,CDR_DEGERLENDIRME_HATA,ER_DEGERLENDIRME_TAHMIN,ER_TAM_TAHMIN,ER_DEGERLENDIRME_HATA,KNN_DEGERLENDIRME_TAHMIN,KNN_TAM_TAHMIN,KNN_DEGERLENDIRME_HATA,RF_DEGERLENDIRME_TAHMIN,RF_TAM_TAHMIN,RF_DEGERLENDIRME_HATA,XGB_DEGERLENDIRME_TAHMIN,XGB_TAM_TAHMIN,XGB_DEGERLENDIRME_HATA,CAT_DEGERLENDIRME_TAHMIN,CAT_TAM_TAHMIN,CAT_DEGERLENDIRME_HATA,HGB_DEGERLENDIRME_TAHMIN,HGB_TAM_TAHMIN,HGB_DEGERLENDIRME_HATA,STACK_DEGERLENDIRME_TAHMIN,STACK_TAM_TAHMIN,STACK_DEGERLENDIRME_HATA,RF_ALT90_YAKLASIK,RF_UST90_YAKLASIK
29,KOZLUK DGBH,14516169.4,2020-12-02,9.770918753538382,8.0,30.8,0.0,2.0,141836311.82,Nested CV eğitim OOF,110202602.50762713,92986917.3725006,-31633709.312372863,121816605.45145053,37583146.09578884,-20019706.368549466,107273836.6875,120842704.42,-34562475.13249999,103573838.91876051,110969187.76942165,-38262472.901239485,121341864.0,113993048.0,-20494447.819999993,125985903.01902902,102527072.55352467,-15850408.800970972,100747986.10011029,126740512.21758993,-41088325.7198897,145547617.77573138,135387431.45061284,3711305.955731392,0.0,511955246.7732588
30,DEMİRCİ DGBH,10883974.1,2021-03-16,9.029515554433377,10.0,43.9,1.0,2.0,98277013.43,Nested CV eğitim OOF,98047719.33958256,102413278.91667491,-229294.0904174447,196083564.08869177,181784916.8207007,97806550.65869176,199602908.94903976,162429642.14666668,101325895.51903975,204660002.36030003,148095830.2403904,106382988.93030003,202867744.0,158237376.0,104590730.57,203147596.0413484,182845933.83375937,104870582.61134839,181756768.46283296,123614230.54217328,83479755.03283295,234707031.3998319,144878540.03519523,136430017.96983188,0.0,613041410.2147983
31,MUT DGBH,30099646.2,güncel,1.0,20.0,80.4,2.0,2.0,30099646.2,Nested CV eğitim OOF,696039891.6698905,783231227.9236989,665940245.4698905,645372648.2609403,746885056.274236,615273002.0609403,302123872.8336847,240865024.84,272024226.6336847,430784962.59567213,341947243.5243229,400685316.39567214,364371680.0,285093920.0,334272033.8,336848538.7775266,320944284.67082375,306748892.5775266,514784576.24535245,65982364.605168976,484684930.04535246,645699696.1578624,191960523.2654274,615600049.9578624,22403554.741173863,839166370.4501704
32,AYVALIK DGBH,23979062.87,2022-01-04,4.917956121527113,16.0,36.4,1.0,2.0,117927979.03,Nested CV eğitim OOF,230652172.18924975,218395168.63332325,112724193.15924975,401285363.8020404,362785821.2987492,283357384.77204037,217929686.19471318,197634366.4433333,100001707.16471317,195514978.07470015,160733842.68343678,77586999.04470015,168686960.0,156318784.0,50758980.97,165225384.49492717,193343358.3673585,47297405.46492717,177003953.45998678,151983750.07116666,59075974.429986775,151377132.1005221,186330235.1119659,33449153.0705221,0.0,603896385.9291984
33,MAGA FAZ 1 DGBH,842000000.0,2023-04-17,2.564745443289786,40.0,158.8,5.0,2.0,2159515663.25,Nested CV eğitim OOF,2013248207.0132372,1957823262.0082688,-146267456.23676276,1982938837.5170493,1906116612.992463,-176576825.7329507,3168766861.393557,2115689268.83,1009251198.1435571,2795082698.5105705,2673368006.5862246,635567035.2605705,2953126400.0,2554423040.0,793610736.75,3196452348.5968695,2155476243.596174,1036936685.3468695,2754024376.107914,2612969423.178373,594508712.857914,2998918706.17716,2755955702.3085747,839403042.9271598,2386701290.656072,3203464106.365069
34,ERCİŞ PATNOS DGBH,248000000.0,2025-11-27,1.1695351154032259,14.0,67.11,2.0,2.0,290044708.62,Nested CV eğitim OOF,337997526.4521768,345596250.7697107,47952817.832176805,451130663.7283221,454113732.2232361,161085955.10832208,333023303.48,311399134.31666666,42978594.860000014,353617176.17054886,334395448.66697943,63572467.55054885,306746688.0,312605408.0,16701979.379999995,276755436.63554704,295995052.4301587,-13289271.984452963,313163682.4322204,331645488.8518365,23118973.812220395,367877279.61602503,379957317.347698,77832570.99602503,0.0,761998584.0250471
35,POZANTI DGBH,379034845.2,2026-01-02,1.1307374152997796,16.0,73.5,2.0,1.0,428588881.17,Nested CV eğitim OOF,638363184.88887,610387285.5735464,209774303.71886998,586504502.8923678,562241452.1865076,157915621.72236782,257634141.11981022,279792130.7066667,-170954740.0501898,355128065.2657334,380073014.75695336,-73460815.9042666,287494944.0,319376800.0,-141093937.17000002,323982723.3414992,294914674.1026269,-104606157.8285008,405154096.399002,405818044.02042156,-23434784.770998,177628609.18544364,462069386.6353648,-250960271.98455638,0.0,763509473.1202316
36,EĞİRDİR DGBH,102000000.0,2026-03-10,1.0791314893137254,10.0,28.0,0.0,2.0,110071411.91,Nested CV eğitim OOF,201223300.83588648,127006088.58487052,91151888.92588648,203848737.75697082,96303932.15451854,93777325.84697083,93465501.39,105748457.45333333,-16605910.519999996,104966554.75996657,115143260.93514691,-5104857.150033429,120313368.0,120832192.0,10241956.090000004,106786902.50296098,112988668.78798908,-3284509.4070390165,102602663.2662392,114980673.462994,-7468748.6437608,132624434.26677454,126078994.10738826,22553022.35677454,0.0,513347962.6144648
37,GEVAŞ DGBH,206665000.0,2025-11-11,1.1695351154283502,10.0,59.15,2.0,2.0,241701974.63,Nested CV eğitim OOF,28760569.251538634,67763975.41325706,-212941405.37846136,283532999.5112119,263771395.82442883,41831024.88121188,297167063.18,309880831.4066667,55465088.55000001,304618585.3294657,297047910.8176292,62916610.69946569,320085120.0,292102464.0,78383145.37,270021317.4166051,243467327.5375949,28319342.78660512,289533933.4269897,262323415.49865252,47831958.79698968,314273426.24172366,289039097.858472,72571451.61172366,0.0,712999993.183964
38,Malatya Branşman-2 DGBH,166885000.0,2025-11-21,1.1695351154387752,24.0,18.0,1.0,1.0,195177867.74,Nested CV eğitim OOF,314634067.2041404,331665357.13689476,119456199.46414042,663226730.9164435,558960595.1187931,468048863.17644346,169761927.7175,165761448.96666667,-25415940.02250001,153178753.98126653,176320999.20382595,-41999113.75873348,41383256.0,132770128.0,-153794611.74,186168811.47421253,198344413.5652128,-9009056.265787482,0.0,107421333.85213614,-195177867.74,239919551.31804812,209440877.54732037,44741683.57804811,0.0,561560161.8357648
